dist,made
2.0,0
2.0,0
0.0,0
0.0,1
21.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,0
2.0,0
18.0,0
0.0,1
0.0,0
3.0,1
0.0,1
20.0,0
0.0,0
4.0,0
1.0,0
2.0,0
0.0,1
1.0,1
0.0,0
1.0,0
1.0,1
3.0,0
2.0,0
0.0,1
2.0,1
0.0,0
7.0,0
6.0,1
3.0,1
1.0,1
20.0,0
0.0,1
6.0,0
3.0,0
1.0,1
3.0,1
4.0,0
0.0,1
2.0,0
6.0,0
12.0,0
0.0,1
1.0,1
0.0,0
2.0,1
1.0,1
1.0,0
5.0,0
19.0,0
0.0,0
0.0,1
3.0,0
1.0,1
0.0,0
1.0,1
2.0,0
1.0,0
2.0,0
0.0,1
1.0,1
1.0,0
6.0,0
0.0,1
2.0,0
0.0,0
0.0,0
2.0,0
0.0,1
1.0,1
1.0,1
4.0,0
1.0,1
0.0,0
5.0,1
9.0,1
8.0,0
1.0,1
12.0,0
2.0,0
10.0,0
0.0,1
0.0,1
0.0,1
1.0,1
6.0,1
0.0,1
3.0,0
1.0,1
7.0,0
0.0,0
1.0,1
6.0,0
0.0,0
0.0,1
1.0,1
1.0,0
0.0,1
0.0,1
0.0,1
2.0,0
0.0,1
3.0,1
21.0,0
0.0,1
7.0,0
4.0,1
0.0,1
0.0,1
5.0,0
0.0,1
8.0,0
1.0,1
2.0,0
18.0,0
0.0,1
1.0,1
2.0,0
0.0,0
6.0,0
21.0,0
5.0,0
0.0,1
1.0,1
0.0,1
0.0,1
6.0,1
0.0,1
0.0,1
2.0,0
9.0,0
1.0,1
0.0,1
0.0,0
1.0,0
0.0,1
0.0,1
0.0,1
21.0,1
0.0,0
0.0,1
7.0,0
0.0,0
0.0,1
0.0,1
5.0,1
0.0,0
2.0,1
14.0,0
1.0,1
1.0,1
56.0,0
9.0,0
0.0,1
1.0,1
2.0,1
3.0,0
1.0,0
4.0,1
1.0,0
3.0,0
2.0,0
0.0,1
0.0,1
0.0,0
1.0,0
1.0,0
19.0,0
0.0,1
1.0,0
7.0,0
0.0,0
1.0,1
1.0,1
8.0,0
1.0,0
21.0,1
22.0,0
1.0,1
0.0,1
0.0,1
2.0,0
1.0,0
6.0,0
0.0,1
1.0,1
1.0,1
21.0,0
1.0,1
1.0,0
17.0,1
0.0,1
1.0,1
0.0,1
18.0,0
0.0,1
4.0,1
1.0,1
0.0,1
6.0,0
1.0,1
1.0,0
6.0,0
0.0,1
0.0,1
0.0,0
0.0,0
1.0,0
4.0,1
